11-20-2024 22:29:48 RAM 2299/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [20%@1510,9%@1510,17%@1510,100%@1510,4%@729,5%@729] GR3D_FREQ 49% cpu@45.562C soc2@44.562C soc0@43.937C gpu@45.718C tj@45.718C soc1@43.687C VDD_IN 5356mW/5356mW VDD_CPU_GPU_CV 1465mW/1465mW VDD_SOC 1547mW/1547mW
11-20-2024 22:29:49 RAM 2299/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [17%@1510,11%@1510,11%@1510,100%@1510,6%@729,2%@729] GR3D_FREQ 30% cpu@45.656C soc2@44.625C soc0@43.812C gpu@45.906C tj@45.906C soc1@43.625C VDD_IN 5396mW/5376mW VDD_CPU_GPU_CV 1545mW/1505mW VDD_SOC 1545mW/1546mW
11-20-2024 22:29:50 RAM 2299/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [24%@1510,14%@1510,15%@1510,100%@1510,1%@729,2%@729] GR3D_FREQ 59% cpu@45.687C soc2@44.593C soc0@43.906C gpu@45.781C tj@45.781C soc1@43.656C VDD_IN 5396mW/5383mW VDD_CPU_GPU_CV 1545mW/1518mW VDD_SOC 1545mW/1546mW
11-20-2024 22:29:51 RAM 2278/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [21%@1510,15%@1510,10%@1510,69%@1510,1%@729,0%@729] GR3D_FREQ 9% cpu@45.625C soc2@44.593C soc0@44.093C gpu@45.718C tj@45.718C soc1@43.468C VDD_IN 4904mW/5263mW VDD_CPU_GPU_CV 1114mW/1417mW VDD_SOC 1472mW/1527mW
11-20-2024 22:29:52 RAM 2272/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [7%@729,5%@729,2%@729,0%@729,19%@729,5%@729] GR3D_FREQ 7% cpu@45.843C soc2@44.437C soc0@43.937C gpu@45.875C tj@45.875C soc1@43.656C VDD_IN 4447mW/5100mW VDD_CPU_GPU_CV 760mW/1286mW VDD_SOC 1360mW/1494mW
11-20-2024 22:29:53 RAM 2273/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [13%@1510,13%@1510,12%@1510,39%@1510,13%@729,17%@729] GR3D_FREQ 6% cpu@45.562C soc2@44.531C soc0@43.937C gpu@45.875C tj@45.812C soc1@43.656C VDD_IN 4896mW/5066mW VDD_CPU_GPU_CV 1152mW/1264mW VDD_SOC 1430mW/1483mW
11-20-2024 22:29:54 RAM 2273/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@1510,1%@1510,1%@1510,83%@1510,0%@729,0%@729] GR3D_FREQ 6% cpu@45.656C soc2@44.562C soc0@43.968C gpu@45.781C tj@45.781C soc1@43.593C VDD_IN 4761mW/5022mW VDD_CPU_GPU_CV 1148mW/1247mW VDD_SOC 1468mW/1481mW
11-20-2024 22:29:55 RAM 2274/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [4%@1510,7%@1510,56%@1510,30%@1510,10%@729,7%@729] GR3D_FREQ 7% cpu@45.843C soc2@44.593C soc0@43.906C gpu@45.812C tj@45.843C soc1@43.562C VDD_IN 4840mW/5000mW VDD_CPU_GPU_CV 1228mW/1245mW VDD_SOC 1468mW/1479mW
11-20-2024 22:29:56 RAM 2274/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [10%@1510,16%@1510,15%@1510,5%@1510,0%@729,2%@729] GR3D_FREQ 8% cpu@45.5C soc2@44.593C soc0@43.906C gpu@45.875C tj@45.875C soc1@43.593C VDD_IN 4440mW/4937mW VDD_CPU_GPU_CV 798mW/1195mW VDD_SOC 1397mW/1470mW
11-20-2024 22:29:57 RAM 2274/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [22%@729,18%@729,15%@729,2%@729,0%@729,0%@729] GR3D_FREQ 7% cpu@45.468C soc2@44.5C soc0@43.875C gpu@45.875C tj@45.875C soc1@43.656C VDD_IN 4400mW/4884mW VDD_CPU_GPU_CV 760mW/1152mW VDD_SOC 1360mW/1459mW
11-20-2024 22:29:58 RAM 2274/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [35%@1036,29%@1036,28%@1036,23%@1036,20%@1190,29%@1190] GR3D_FREQ 88% cpu@46C soc2@44.625C soc0@44.062C gpu@46.125C tj@46.125C soc1@43.5C VDD_IN 5374mW/4928mW VDD_CPU_GPU_CV 1351mW/1170mW VDD_SOC 1472mW/1460mW
11-20-2024 22:29:59 RAM 2275/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [33%@1510,37%@1510,43%@1510,24%@1510,32%@729,34%@729] GR3D_FREQ 19% cpu@45.875C soc2@44.687C soc0@43.906C gpu@45.937C tj@45.937C soc1@43.625C VDD_IN 5524mW/4978mW VDD_CPU_GPU_CV 1468mW/1195mW VDD_SOC 1507mW/1464mW
11-20-2024 22:30:00 RAM 2276/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [26%@1510,42%@1510,45%@1510,29%@1510,41%@729,23%@729] GR3D_FREQ 54% cpu@46.125C soc2@44.781C soc0@44C gpu@45.937C tj@46.125C soc1@43.687C VDD_IN 5634mW/5028mW VDD_CPU_GPU_CV 1584mW/1224mW VDD_SOC 1587mW/1474mW
11-20-2024 22:30:01 RAM 2281/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [53%@1510,29%@1510,6%@1510,8%@1510,16%@729,7%@729] GR3D_FREQ 7% cpu@45.718C soc2@44.781C soc0@44.031C gpu@45.906C tj@45.906C soc1@43.718C VDD_IN 4960mW/5023mW VDD_CPU_GPU_CV 1228mW/1225mW VDD_SOC 1507mW/1476mW
11-20-2024 22:30:02 RAM 2281/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [36%@1510,27%@1510,26%@1510,29%@1510,19%@729,20%@729] GR3D_FREQ 12% cpu@45.562C soc2@44.625C soc0@44.125C gpu@45.906C tj@45.906C soc1@43.875C VDD_IN 4816mW/5010mW VDD_CPU_GPU_CV 1035mW/1212mW VDD_SOC 1433mW/1473mW
